AssetID,Category,Asset,TargetVariants,Priority,ReusePotential,BuildStrategy,PreferredFormat,Status,SourceURL,License,Notes
ENV_Wall_Clean,Environment_Modular,Clean modular wall,4,MUST,High,Custom + PBR,GLB,TODO,,,
ENV_Wall_Dirty,Environment_Modular,Dirty/worn modular wall,4,MUST,High,Custom + PBR,GLB,TODO,,,
ENV_Wall_Rusty,Environment_Modular,Rusty maintenance wall,3,MUST,High,Custom + PBR,GLB,TODO,,,
ENV_Wall_Damaged,Environment_Modular,Damaged/cracked wall,3,SHOULD,High,Custom + PBR,GLB,TODO,,,
ENV_Wall_Doorway,Environment_Modular,Wall with doorway opening,3,MUST,High,Custom,GLB,TODO,,,
ENV_Wall_Window,Environment_Modular,Wall with showroom window,2,SHOULD,High,Custom,GLB,TODO,,,
ENV_Wall_CornerInner,Environment_Modular,Inside corner,2,MUST,Very High,Custom,GLB,TODO,,,
ENV_Wall_CornerOuter,Environment_Modular,Outside corner,2,MUST,Very High,Custom,GLB,TODO,,,
ENV_Floor_Concrete,Environment_Modular,Polished concrete floor tile,4,MUST,Very High,PBR,GLB,TODO,,,
ENV_Floor_Carpet,Environment_Modular,Showroom carpet tile,5,MUST,Very High,PBR,GLB,TODO,,,
ENV_Floor_Tile,Environment_Modular,Ceramic/linoleum floor tile,4,MUST,Very High,PBR,GLB,TODO,,,
ENV_Floor_WoodLaminate,Environment_Modular,Laminate floor tile,5,MUST,Very High,PBR,GLB,TODO,,,
ENV_Ceiling_Grid,Environment_Modular,Drop-ceiling grid tile,4,MUST,Very High,Custom + PBR,GLB,TODO,,,
ENV_Ceiling_Industrial,Environment_Modular,Warehouse ceiling section,3,MUST,High,Custom,GLB,TODO,,,
ENV_Column_Square,Environment_Modular,Structural square column,3,MUST,High,Custom,GLB,TODO,,,
ENV_Column_Round,Environment_Modular,Round support column,2,SHOULD,High,Custom,GLB,TODO,,,
ENV_Door_Showroom,Environment_Modular,Showroom interior door,4,MUST,High,Custom,GLB,TODO,,,
ENV_Door_Fire,Environment_Modular,Metal fire door,3,MUST,High,Custom + PBR,GLB,TODO,,,
ENV_Door_Loading,Environment_Modular,Loading bay roll-up door,2,MUST,Medium,Custom,GLB,TODO,,,
ENV_Stairs,Environment_Modular,Emergency stairs modular,3,SHOULD,Medium,Custom,GLB,TODO,,,
ENV_Railing,Environment_Modular,Metal railing section,4,SHOULD,High,Custom,GLB,TODO,,,
ENV_Escalator,Environment_Modular,Static escalator,1,COULD,Low,Custom,GLB,TODO,,,
ENV_LoadingDock,Environment_Modular,Loading dock module,2,SHOULD,Medium,Custom,GLB,TODO,,,
ENV_Ramp,Environment_Modular,Warehouse ramp,2,SHOULD,Medium,Custom,GLB,TODO,,,
ENV_Baseboard,Environment_Modular,Wall baseboard trim,4,SHOULD,Very High,Custom,GLB,TODO,,,
ENV_CeilingBeam,Environment_Modular,Industrial ceiling beam,4,SHOULD,High,Custom,GLB,TODO,,,
ENV_PipeSet,Environment_Modular,Modular pipes elbows/T-joints,12,SHOULD,Very High,Custom,GLB,TODO,,,
ENV_VentSet,Environment_Modular,Wall/ceiling vents,8,SHOULD,High,Custom,GLB,TODO,,,
ENV_Drain,Environment_Modular,Floor drain,2,COULD,High,Custom,GLB,TODO,,,
ENV_WindowGlass,Environment_Modular,Glass panel modules,4,SHOULD,High,Custom + material,GLB,TODO,,,
FUR_Sofa_2Seat,Furniture,Two-seat sofas,8,MUST,High,Source + modify,GLB,TODO,,,
FUR_Sofa_3Seat,Furniture,Three-seat sofas,8,MUST,High,Source + modify,GLB,TODO,,,
FUR_Sectional,Furniture,Sectional sofas,5,SHOULD,Medium,Source + modify,GLB,TODO,,,
FUR_Armchair,Furniture,Armchairs,10,MUST,High,Source + modify,GLB,TODO,,,
FUR_Recliner,Furniture,Recliners,5,SHOULD,Medium,Source + modify,GLB,TODO,,,
FUR_DiningChair,Furniture,Dining chairs,12,MUST,Very High,Source + modify,GLB,TODO,,,
FUR_OfficeChair,Furniture,Office chairs,8,SHOULD,High,Source + modify,GLB,TODO,,,
FUR_Stool,Furniture,Stools/bar stools,8,SHOULD,High,Source + modify,GLB,TODO,,,
FUR_DiningTable,Furniture,Dining tables,8,MUST,High,Source + modify,GLB,TODO,,,
FUR_CoffeeTable,Furniture,Coffee tables,8,MUST,High,Source + modify,GLB,TODO,,,
FUR_SideTable,Furniture,Side/end tables,10,MUST,Very High,Source + modify,GLB,TODO,,,
FUR_Desk,Furniture,Desks,7,MUST,High,Source + modify,GLB,TODO,,,
FUR_BedSingle,Furniture,Single beds,5,MUST,High,Source + modify,GLB,TODO,,,
FUR_BedDouble,Furniture,Double beds,8,MUST,High,Source + modify,GLB,TODO,,,
FUR_BedBunk,Furniture,Bunk beds,3,COULD,Medium,Source + modify,GLB,TODO,,,
FUR_Mattress,Furniture,Loose mattresses,5,SHOULD,High,Custom/source,GLB,TODO,,,
FUR_Nightstand,Furniture,Nightstands,8,MUST,Very High,Source + modify,GLB,TODO,,,
FUR_Dresser,Furniture,Dressers/chests,8,MUST,High,Source + modify,GLB,TODO,,,
FUR_Wardrobe,Furniture,Wardrobes,7,MUST,High,Source + modify,GLB,TODO,,,
FUR_Bookcase,Furniture,Bookcases,8,MUST,High,Source + modify,GLB,TODO,,,
FUR_ShelvingHome,Furniture,Home shelving,7,SHOULD,High,Source + modify,GLB,TODO,,,
FUR_TVStand,Furniture,TV/media stands,6,SHOULD,High,Source + modify,GLB,TODO,,,
FUR_KitchenCabinet,Furniture,Kitchen cabinets modular,12,MUST,Very High,Custom/source,GLB,TODO,,,
FUR_KitchenIsland,Furniture,Kitchen islands,5,SHOULD,Medium,Source + modify,GLB,TODO,,,
FUR_Countertop,Furniture,Countertop modules,8,SHOULD,Very High,Custom,GLB,TODO,,,
FUR_SinkCabinet,Furniture,Sink cabinets,4,SHOULD,Medium,Source + modify,GLB,TODO,,,
FUR_BathVanity,Furniture,Bathroom vanities,4,SHOULD,Medium,Source + modify,GLB,TODO,,,
FUR_ToiletDisplay,Furniture,Display toilets,3,COULD,Medium,Source,GLB,TODO,,,
FUR_Mirror,Furniture,Mirrors,8,MUST,High,Custom/source,GLB,TODO,,,
FUR_Rug,Furniture,Rugs,12,MUST,Very High,Plane + PBR,GLB,TODO,,,
FUR_Curtain,Furniture,Curtain sets,6,SHOULD,High,Source/custom,GLB,TODO,,,
FUR_LampFloor,Furniture,Floor lamps,10,MUST,Very High,Source + modify,GLB,TODO,,,
FUR_LampTable,Furniture,Table lamps,10,MUST,Very High,Source + modify,GLB,TODO,,,
FUR_LampCeiling,Furniture,Decorative ceiling lamps,8,SHOULD,High,Source + modify,GLB,TODO,,,
FUR_Pillow,Furniture,Pillows/cushions,12,SHOULD,Very High,Source + recolor,GLB,TODO,,,
FUR_Blanket,Furniture,Blankets/throws,8,SHOULD,High,Source/custom,GLB,TODO,,,
FUR_PlantArtificial,Furniture,Artificial plants,10,SHOULD,High,Source,GLB,TODO,,,
FUR_PictureFrame,Furniture,Picture frames,12,SHOULD,Very High,Custom,GLB,TODO,,,
FUR_WallClock,Furniture,Wall clocks,5,SHOULD,High,Source/custom,GLB,TODO,,,
FUR_CandleDecor,Furniture,Decorative candles,6,COULD,High,Source,GLB,TODO,,,
FUR_Vase,Furniture,Vases,10,COULD,High,Source,GLB,TODO,,,
FUR_Basket,Furniture,Storage baskets,8,SHOULD,High,Source,GLB,TODO,,,
FUR_CabinetGlass,Furniture,Glass cabinets,5,SHOULD,Medium,Source/custom,GLB,TODO,,,
FUR_Bench,Furniture,Benches,6,SHOULD,High,Source,GLB,TODO,,,
FUR_ShoeRack,Furniture,Shoe racks,5,COULD,High,Source,GLB,TODO,,,
FUR_KidsFurniture,Furniture,Children's furniture variants,8,COULD,Medium,Source,GLB,TODO,,,
FUR_DisplayRoomDivider,Furniture,Showroom dividers,6,MUST,High,Custom,GLB,TODO,,,
STR_Shelf_Aisle,Store_And_Warehouse,Retail aisle shelving,8,MUST,Very High,Custom,GLB,TODO,,,
STR_WarehouseRack,Store_And_Warehouse,Tall warehouse pallet racks,8,MUST,Very High,Custom,GLB,TODO,,,
STR_Pallet,Store_And_Warehouse,Wood pallets,6,MUST,Very High,Source/PBR,GLB,TODO,,,
STR_CardboardBox,Store_And_Warehouse,Cardboard boxes,15,MUST,Very High,Custom/source,GLB,TODO,,,
STR_FlatPackBox,Store_And_Warehouse,Flat-pack furniture cartons,12,MUST,Very High,Custom,GLB,TODO,,,
STR_ShoppingCart,Store_And_Warehouse,Shopping carts,4,MUST,High,Source + modify,GLB,TODO,,,
STR_FlatbedCart,Store_And_Warehouse,Warehouse flatbed carts,4,SHOULD,High,Source + modify,GLB,TODO,,,
STR_PriceTag,Store_And_Warehouse,Price tag/sign holder,10,MUST,Very High,Custom,GLB,TODO,,,
STR_AisleSign,Store_And_Warehouse,Hanging aisle signs,8,MUST,Very High,Custom,GLB,TODO,,,
STR_DirectorySign,Store_And_Warehouse,Store directory signs,6,MUST,High,Custom,GLB,TODO,,,
STR_ArrowSign,Store_And_Warehouse,Directional arrow signage,8,MUST,Very High,Custom,GLB,TODO,,,
STR_EmergencyExitSign,Store_And_Warehouse,Emergency exit signs,4,MUST,High,Custom,GLB,TODO,,,
STR_CheckoutCounter,Store_And_Warehouse,Checkout counters,4,SHOULD,Medium,Custom,GLB,TODO,,,
STR_Kiosk,Store_And_Warehouse,Information kiosks,3,SHOULD,Medium,Custom,GLB,TODO,,,
STR_ComputerTerminal,Store_And_Warehouse,Store terminals,4,SHOULD,High,Source/custom,GLB,TODO,,,
STR_SecurityCamera,Store_And_Warehouse,Security cameras,5,MUST,High,Source/custom,GLB,TODO,,,
STR_PA_Speaker,Store_And_Warehouse,PA ceiling speakers,4,MUST,Very High,Custom,GLB,TODO,,,
STR_FireExtinguisher,Store_And_Warehouse,Fire extinguishers,4,SHOULD,High,Source,GLB,TODO,,,
STR_FireAlarm,Store_And_Warehouse,Fire alarm pull/strobe,5,SHOULD,Very High,Custom,GLB,TODO,,,
STR_TrashCan,Store_And_Warehouse,Trash bins,7,SHOULD,High,Source,GLB,TODO,,,
STR_RecyclingBin,Store_And_Warehouse,Recycling bins,4,COULD,High,Source,GLB,TODO,,,
STR_WetFloorSign,Store_And_Warehouse,Wet floor signs,3,COULD,High,Source,GLB,TODO,,,
STR_VendingMachine,Store_And_Warehouse,Vending machines,3,COULD,Medium,Source/custom,GLB,TODO,,,
STR_WaterDispenser,Store_And_Warehouse,Water dispensers,2,COULD,Medium,Source,GLB,TODO,,,
STR_Locker,Store_And_Warehouse,Employee lockers,6,SHOULD,High,Source/custom,GLB,TODO,,,
STR_Forklift,Store_And_Warehouse,Forklift,2,SHOULD,Medium,Source + optimize,GLB,TODO,,,
STR_PalletJack,Store_And_Warehouse,Pallet jack,2,SHOULD,Medium,Source,GLB,TODO,,,
STR_LoadingBollard,Store_And_Warehouse,Loading dock bollards,4,COULD,High,Custom,GLB,TODO,,,
STR_QueueBarrier,Store_And_Warehouse,Queue barriers,4,COULD,High,Source,GLB,TODO,,,
STR_RopeBarrier,Store_And_Warehouse,Rope barriers,3,COULD,High,Source,GLB,TODO,,,
FOOD_Counter,Food_Court,Food counter modules,4,SHOULD,Medium,Custom,GLB,TODO,,,
FOOD_Table,Food_Court,Cafeteria tables,5,SHOULD,High,Source,GLB,TODO,,,
FOOD_Chair,Food_Court,Cafeteria chairs,6,SHOULD,High,Source,GLB,TODO,,,
